#OK
#SQL= select Type, stellarMass
#	    from Henriques2015a..MRscPlanck1    
#	where snapnum=15 and StellarMass > 0.01
#MAXROWS UNLIMITED
#QUERYTIMEOUT 420 sec
#DATE 2020-01-30 20:22:42.736 CET
#QUERYTIME 21 millisec
#COLUMN 1 name=Type JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 2 name=stellarMass JDBC_TYPE=7 JDBC_TYPENAME=real
Type,stellarMass
0,0.010000025
0,0.01000003
0,0.010000068
0,0.010000118
0,0.010000132
0,0.010000168
0,0.010000175
0,0.010000183
0,0.010000272
0,0.010000324
0,0.010000345
0,0.010000377
0,0.0100003835
0,0.010000392
0,0.010000413
0,0.010000419
0,0.0100005055
0,0.010000571
0,0.010000636
0,0.010000639
0,0.010000654
0,0.01000073
0,0.01000075
2,0.010000782
0,0.010000804
0,0.010000828
0,0.010000854
0,0.010000869
0,0.010000878
0,0.010000912
0,0.010000938
0,0.010001001
0,0.010001041
0,0.010001079
0,0.010001084
0,0.010001121
0,0.010001126
0,0.010001192
0,0.010001287
1,0.010001299
0,0.010001306
0,0.010001415
0,0.010001421
0,0.010001427
0,0.010001428
0,0.0100014405
0,0.01000148
0,0.010001522
0,0.010001529
0,0.010001575
1,0.010001639
0,0.010001657
0,0.0100016855
0,0.010001714
0,0.010001811
0,0.010001878
0,0.010001899
0,0.0100019
0,0.010001921
0,0.010001924
0,0.010001937
0,0.010001939
0,0.010001941
0,0.0100019565
0,0.010001959
0,0.010001974
0,0.010001978
0,0.0100019835
0,0.010002002
0,0.010002033
0,0.010002063
0,0.010002063
0,0.010002065
0,0.010002092
0,0.01000212
0,0.010002137
0,0.010002138
2,0.0100021465
0,0.010002193
0,0.010002208
0,0.010002266
0,0.010002303
0,0.010002307
0,0.01000231
0,0.010002352
0,0.01000236
0,0.0100024445
0,0.010002449
0,0.010002451
0,0.0100024715
0,0.010002496
0,0.010002505
0,0.010002531
0,0.010002553
0,0.01000257
0,0.010002576
0,0.010002579
0,0.0100026
0,0.010002669
0,0.010002734
0,0.010002819
0,0.010002842
0,0.010002849
0,0.010002861
0,0.010002861
0,0.010002985
0,0.010003008
0,0.010003151
0,0.010003241
0,0.0100032445
0,0.010003348
0,0.010003382
0,0.010003442
0,0.010003472
0,0.010003521
0,0.010003561
0,0.010003592
1,0.010003593
1,0.010003611
0,0.010003635
0,0.010003643
0,0.010003648
0,0.010003692
0,0.010003697
0,0.010003707
0,0.010003749
0,0.010003762
0,0.010003784
0,0.0100037865
0,0.010003923
2,0.010003924
0,0.010003947
0,0.010003949
0,0.010003998
0,0.01000402
0,0.010004029
0,0.010004093
0,0.010004166
0,0.0100041665
0,0.010004206
0,0.010004239
0,0.010004291
0,0.0100043
0,0.010004408
0,0.010004408
0,0.01000442
0,0.0100044375
0,0.010004454
0,0.0100044655
0,0.010004475
0,0.010004502
0,0.010004543
0,0.010004582
0,0.010004604
0,0.01000463
0,0.010004708
0,0.010004744
0,0.0100047635
0,0.010004808
0,0.0100048315
0,0.010004861
0,0.010004873
0,0.010004879
0,0.010004897
0,0.010004906
0,0.010004912
0,0.010004938
0,0.010004982
0,0.010005005
0,0.010005015
0,0.010005018
0,0.010005024
0,0.010005128
0,0.010005138
0,0.010005156
0,0.010005161
2,0.010005167
0,0.010005181
0,0.0100051835
2,0.010005284
0,0.010005295
0,0.010005313
0,0.01000535
0,0.010005366
0,0.010005377
0,0.010005432
0,0.010005439
0,0.010005454
0,0.01000547
0,0.0100054955
0,0.010005519
0,0.010005542
0,0.010005624
2,0.010005656
0,0.0100056585
0,0.010005699
1,0.010005743
0,0.010005767
0,0.010005774
0,0.010005781
0,0.010005829
0,0.010005839
0,0.010005936
0,0.010005946
0,0.010005983
