#OK
#SQL= select Type, stellarMass
#	    from Henriques2015a..MRscPlanck1    
#	where snapnum=17 and StellarMass > 0.01
#MAXROWS UNLIMITED
#QUERYTIMEOUT 420 sec
#DATE 2020-01-30 20:19:36.258 CET
#QUERYTIME 126 millisec
#COLUMN 1 name=Type JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 2 name=stellarMass JDBC_TYPE=7 JDBC_TYPENAME=real
Type,stellarMass
0,0.010000002
0,0.010000004
0,0.010000004
0,0.010000005
0,0.010000013
2,0.010000056
0,0.010000066
2,0.010000096
0,0.010000107
2,0.010000149
0,0.010000154
0,0.010000156
2,0.010000163
0,0.010000176
0,0.01000018
0,0.010000187
0,0.01000019
0,0.010000204
0,0.010000226
0,0.010000228
0,0.0100002745
0,0.010000318
0,0.010000359
0,0.01000037
0,0.010000377
0,0.010000392
2,0.010000394
0,0.010000398
0,0.0100004
0,0.010000424
0,0.010000425
0,0.01000044
1,0.010000457
0,0.010000462
0,0.01000047
0,0.010000502
0,0.0100005055
0,0.010000506
2,0.010000511
0,0.010000522
0,0.010000571
0,0.010000586
2,0.0100005865
0,0.010000591
0,0.0100006005
0,0.010000614
0,0.010000619
0,0.010000624
1,0.0100006275
0,0.01000065
0,0.0100006815
1,0.010000688
0,0.010000696
0,0.010000701
0,0.010000701
0,0.01000071
0,0.010000716
0,0.010000729
0,0.010000745
1,0.010000788
0,0.010000806
0,0.010000812
0,0.010000813
0,0.010000813
0,0.010000822
0,0.010000828
0,0.010000848
0,0.010000892
0,0.010000902
0,0.010000931
0,0.010000955
0,0.01000097
0,0.010001045
0,0.010001065
0,0.01000107
0,0.010001088
0,0.01000114
0,0.010001158
0,0.010001167
0,0.01000118
0,0.0100011965
0,0.010001225
2,0.010001229
0,0.010001266
0,0.010001286
0,0.010001304
0,0.010001314
0,0.010001323
0,0.010001331
2,0.010001343
0,0.010001356
0,0.010001358
2,0.010001364
0,0.010001377
0,0.010001385
0,0.010001411
2,0.010001412
0,0.010001429
0,0.010001433
0,0.010001446
0,0.01000147
0,0.010001474
0,0.010001499
0,0.0100015
1,0.010001507
0,0.010001525
0,0.010001526
0,0.010001545
0,0.0100015495
0,0.01000155
0,0.010001558
2,0.010001622
0,0.010001626
0,0.010001653
0,0.010001688
0,0.010001709
0,0.010001715
0,0.010001716
0,0.010001721
0,0.010001735
0,0.010001736
0,0.010001746
0,0.01000178
1,0.010001788
0,0.010001793
0,0.010001802
0,0.010001803
0,0.010001805
0,0.01000184
0,0.010001845
0,0.010001861
0,0.010001866
0,0.01000187
0,0.010001873
0,0.010001878
0,0.010001881
0,0.010001896
0,0.010001923
0,0.010001951
0,0.010001953
0,0.010001971
