#OK
#SQL= select Type, stellarMass
#	from Henriques2020a..MR   
#	where snapnum=17 and StellarMass > 0.01
#MAXROWS UNLIMITED
#QUERYTIMEOUT 420 sec
#DATE 2020-01-31 15:32:21.934 CET
#QUERYTIME 74 millisec
#COLUMN 1 name=Type JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 2 name=stellarMass JDBC_TYPE=7 JDBC_TYPENAME=real
Type,stellarMass
0,0.010000002
0,0.010000009
0,0.010000023
0,0.010000025
0,0.010000028
0,0.010000034
0,0.01000005
0,0.010000053
0,0.010000067
0,0.010000125
0,0.01000014
0,0.010000163
1,0.010000164
0,0.010000165
0,0.010000166
0,0.010000167
0,0.010000167
0,0.01000017
0,0.010000173
0,0.010000179
0,0.010000181
0,0.010000182
0,0.010000184
0,0.010000186
0,0.010000197
0,0.0100002
0,0.01000023
0,0.010000232
0,0.010000264
0,0.010000271
0,0.010000302
0,0.010000302
0,0.0100003565
0,0.010000365
0,0.01000037
0,0.010000397
0,0.010000405
0,0.010000406
0,0.010000414
0,0.010000415
0,0.010000417
0,0.010000423
0,0.01000043
0,0.01000044
2,0.01000045
0,0.010000452
0,0.010000459
0,0.010000459
0,0.01000046
0,0.010000461
0,0.010000467
0,0.01000047
0,0.010000482
0,0.010000485
0,0.010000523
0,0.010000527
0,0.010000529
0,0.010000544
0,0.010000565
0,0.010000583
2,0.010000594
0,0.010000605
0,0.010000626
2,0.010000626
0,0.0100006275
0,0.010000632
0,0.010000637
0,0.010000647
0,0.010000664
0,0.010000678
0,0.010000679
0,0.010000679
0,0.0100006815
0,0.0100007
0,0.010000706
0,0.010000713
0,0.010000714
0,0.010000714
0,0.010000718
0,0.010000721
0,0.010000727
0,0.010000756
0,0.010000767
2,0.010000769
0,0.010000774
0,0.010000774
0,0.0100007905
2,0.010000816
0,0.0100008175
0,0.010000833
0,0.010000834
0,0.010000848
0,0.010000868
0,0.010000885
2,0.010000888
0,0.010000897
0,0.010000903
0,0.01000092
1,0.010000942
0,0.010000949
0,0.010000951
0,0.010000959
0,0.01000096
0,0.010000963
0,0.010000965
