#OK
#SQL= select Type, stellarMass
#	from Henriques2020a..MR   
#	where snapnum=15 and StellarMass > 0.01
#MAXROWS UNLIMITED
#QUERYTIMEOUT 420 sec
#DATE 2020-01-31 15:31:38.939 CET
#QUERYTIME 36 millisec
#COLUMN 1 name=Type JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 2 name=stellarMass JDBC_TYPE=7 JDBC_TYPENAME=real
Type,stellarMass
0,0.010000003
0,0.01000001
0,0.010000025
0,0.010000044
0,0.010000072
0,0.010000141
0,0.010000244
1,0.010000256
0,0.010000288
0,0.010000339
0,0.010000377
0,0.010000411
0,0.010000415
0,0.0100004235
0,0.010000425
0,0.0100004785
0,0.010000515
0,0.010000525
0,0.010000551
0,0.010000552
0,0.010000627
0,0.010000633
0,0.010000654
0,0.010000668
2,0.010000752
0,0.010000765
0,0.010000806
0,0.010000824
0,0.010000828
0,0.01000084
0,0.010000852
0,0.010000864
0,0.010000916
0,0.010000916
0,0.010000916
0,0.010000918
0,0.010000972
2,0.010001209
0,0.010001214
0,0.0100012245
0,0.010001247
0,0.010001265
0,0.010001284
0,0.010001291
0,0.010001293
0,0.010001302
0,0.01000134
0,0.010001357
0,0.010001361
0,0.010001386
0,0.010001431
0,0.010001437
0,0.01000144
0,0.010001486
0,0.0100014955
0,0.010001503
0,0.010001509
0,0.010001541
0,0.010001582
0,0.010001646
0,0.010001652
0,0.010001733
0,0.010001754
0,0.010001798
0,0.0100018
1,0.010001815
0,0.0100018205
0,0.010001825
0,0.010001862
0,0.010001885
0,0.010001895
0,0.01000193
0,0.0100019695
0,0.010001995
0,0.010002004
0,0.010002067
0,0.010002081
0,0.010002092
0,0.010002097
0,0.010002143
0,0.010002183
0,0.010002229
0,0.010002253
0,0.010002254
0,0.01000228
0,0.010002309
0,0.010002311
0,0.010002335
0,0.010002376
0,0.010002391
0,0.010002394
0,0.010002475
0,0.010002475
0,0.010002481
0,0.010002505
0,0.010002619
0,0.010002629
0,0.010002642
0,0.010002657
